level_0,index,mep_id,last_name,first_name_y,gender,country,term_number,year,group,position,section,description,ep_president,ep_vp,ep_quaestor
0,18047,96725,EICKHOUT,Bas,man,Netherlands,8,2016.0,Group of the Greens/European Free Alliance,Treasurer,Member,Committee of Inquiry into Emission Measurements in the Automotive Sector,0,0,0
1,18048,96725,EICKHOUT,Bas,man,Netherlands,8,2017.0,Group of the Greens/European Free Alliance,Treasurer,Member,Committee of Inquiry into Emission Measurements in the Automotive Sector,0,0,0
19,18066,96725,EICKHOUT,Bas,man,Netherlands,8,2016.0,Group of the Greens/European Free Alliance,Treasurer,Substitute,Committee on Economic and Monetary Affairs,0,0,0
20,18067,96725,EICKHOUT,Bas,man,Netherlands,8,2017.0,Group of the Greens/European Free Alliance,Treasurer,Substitute,Committee on Economic and Monetary Affairs,0,0,0
41,18088,96725,EICKHOUT,Bas,man,Netherlands,8,2016.0,Group of the Greens/European Free Alliance,Treasurer,Member,"Committee on the Environment, Public Health and Food Safety",0,0,0
42,18089,96725,EICKHOUT,Bas,man,Netherlands,8,2017.0,Group of the Greens/European Free Alliance,Treasurer,Member,"Committee on the Environment, Public Health and Food Safety",0,0,0
55,18102,96725,EICKHOUT,Bas,man,Netherlands,8,2016.0,Group of the Greens/European Free Alliance,Treasurer,Substitute,Committee on Transport and Tourism,0,0,0
56,18103,96725,EICKHOUT,Bas,man,Netherlands,8,2017.0,Group of the Greens/European Free Alliance,Treasurer,Substitute,Committee on Transport and Tourism,0,0,0
63,18110,96725,EICKHOUT,Bas,man,Netherlands,8,2016.0,Group of the Greens/European Free Alliance,Treasurer,Substitute,Delegation for relations with the People's Republic of China,0,0,0
64,18111,96725,EICKHOUT,Bas,man,Netherlands,8,2017.0,Group of the Greens/European Free Alliance,Treasurer,Substitute,Delegation for relations with the People's Republic of China,0,0,0
83,18130,96725,EICKHOUT,Bas,man,Netherlands,8,2016.0,Group of the Greens/European Free Alliance,Treasurer,Member,Delegation for relations with the United States,0,0,0
84,18131,96725,EICKHOUT,Bas,man,Netherlands,8,2017.0,Group of the Greens/European Free Alliance,Treasurer,Member,Delegation for relations with the United States,0,0,0
108,24774,124739,ZORRINHO,Carlos,man,Portugal,8,2016.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Member,Committee of Inquiry into Emission Measurements in the Automotive Sector,0,0,0
109,24775,124739,ZORRINHO,Carlos,man,Portugal,8,2017.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Member,Committee of Inquiry into Emission Measurements in the Automotive Sector,0,0,0
118,24784,124739,ZORRINHO,Carlos,man,Portugal,8,2016.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Member,"Committee on Industry, Research and Energy",0,0,0
119,24785,124739,ZORRINHO,Carlos,man,Portugal,8,2017.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Member,"Committee on Industry, Research and Energy",0,0,0
130,24796,124739,ZORRINHO,Carlos,man,Portugal,8,2016.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Substitute,"Committee on the Environment, Public Health and Food Safety",0,0,0
131,24797,124739,ZORRINHO,Carlos,man,Portugal,8,2017.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Substitute,"Committee on the Environment, Public Health and Food Safety",0,0,0
142,24808,124739,ZORRINHO,Carlos,man,Portugal,8,2016.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Substitute,Delegation for relations with Mercosur,0,0,0
143,24809,124739,ZORRINHO,Carlos,man,Portugal,8,2017.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Substitute,Delegation for relations with Mercosur,0,0,0
148,24814,124739,ZORRINHO,Carlos,man,Portugal,8,2016.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Vice Chair,Delegation for relations with the Federative Republic of Brazil,0,0,0
149,24815,124739,ZORRINHO,Carlos,man,Portugal,8,2017.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Vice Chair,Delegation for relations with the Federative Republic of Brazil,0,0,0
160,24826,124739,ZORRINHO,Carlos,man,Portugal,8,2016.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Member,Delegation to the ACP-EU Joint Parliamentary Assembly,0,0,0
161,24827,124739,ZORRINHO,Carlos,man,Portugal,8,2017.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Member,Delegation to the ACP-EU Joint Parliamentary Assembly,0,0,0
172,24838,124739,ZORRINHO,Carlos,man,Portugal,8,2016.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Member,Delegation to the Euro-Latin American Parliamentary Assembly,0,0,0
173,24839,124739,ZORRINHO,Carlos,man,Portugal,8,2017.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Member,Delegation to the Euro-Latin American Parliamentary Assembly,0,0,0
177,27472,37312,SCHALDEMOSE,Christel,woman,Denmark,8,2016.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Member,Committee of Inquiry into Emission Measurements in the Automotive Sector,0,0,0
178,27473,37312,SCHALDEMOSE,Christel,woman,Denmark,8,2017.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Member,Committee of Inquiry into Emission Measurements in the Automotive Sector,0,0,0
201,27496,37312,SCHALDEMOSE,Christel,woman,Denmark,8,2016.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Substitute,"Committee on the Environment, Public Health and Food Safety",0,0,0
202,27497,37312,SCHALDEMOSE,Christel,woman,Denmark,8,2017.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Substitute,"Committee on the Environment, Public Health and Food Safety",0,0,0
225,27520,37312,SCHALDEMOSE,Christel,woman,Denmark,8,2016.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Member,Committee on the Internal Market and Consumer Protection,0,0,0
226,27521,37312,SCHALDEMOSE,Christel,woman,Denmark,8,2017.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Member,Committee on the Internal Market and Consumer Protection,0,0,0
254,27549,37312,SCHALDEMOSE,Christel,woman,Denmark,8,2016.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Substitute,Delegation for relations with Canada,0,0,0
255,27550,37312,SCHALDEMOSE,Christel,woman,Denmark,8,2017.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Substitute,Delegation for relations with Canada,0,0,0
264,27559,37312,SCHALDEMOSE,Christel,woman,Denmark,8,2016.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Member,Delegation for relations with Japan,0,0,0
265,27560,37312,SCHALDEMOSE,Christel,woman,Denmark,8,2017.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Member,Delegation for relations with Japan,0,0,0
276,27571,37312,SCHALDEMOSE,Christel,woman,Denmark,8,2017.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Substitute,Delegation for relations with Switzerland and Norway and to the EU-Iceland Joint Parliamentary Committee and the European Economic Area (EEA) Joint Parliamentary Committee,0,0,0
297,28349,124287,REVAULT D'ALLONNES BONNEFOY,Christine,woman,France,8,2016.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Member,Committee of Inquiry into Emission Measurements in the Automotive Sector,0,0,0
298,28350,124287,REVAULT D'ALLONNES BONNEFOY,Christine,woman,France,8,2017.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Member,Committee of Inquiry into Emission Measurements in the Automotive Sector,0,0,0
301,28353,124287,REVAULT D'ALLONNES BONNEFOY,Christine,woman,France,8,2016.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Substitute,"Committee on Civil Liberties, Justice and Home Affairs",0,0,0
302,28354,124287,REVAULT D'ALLONNES BONNEFOY,Christine,woman,France,8,2017.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Substitute,"Committee on Civil Liberties, Justice and Home Affairs",0,0,0
309,28361,124287,REVAULT D'ALLONNES BONNEFOY,Christine,woman,France,8,2016.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Member,Committee on Transport and Tourism,0,0,0
310,28362,124287,REVAULT D'ALLONNES BONNEFOY,Christine,woman,France,8,2017.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Member,Committee on Transport and Tourism,0,0,0
317,28369,124287,REVAULT D'ALLONNES BONNEFOY,Christine,woman,France,8,2016.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Substitute,Delegation for relations with Mercosur,0,0,0
318,28370,124287,REVAULT D'ALLONNES BONNEFOY,Christine,woman,France,8,2017.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Substitute,Delegation for relations with Mercosur,0,0,0
323,28375,124287,REVAULT D'ALLONNES BONNEFOY,Christine,woman,France,8,2016.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Member,Delegation for relations with South Africa,0,0,0
324,28376,124287,REVAULT D'ALLONNES BONNEFOY,Christine,woman,France,8,2017.0,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member,Member,Delegation for relations with South Africa,0,0,0
328,30093,124734,MONTEIRO DE AGUIAR,Claudia,woman,Portugal,8,2016.0,Group of the European People's Party (Christian Democrats),Member,Member,Committee of Inquiry into Emission Measurements in the Automotive Sector,0,0,0
329,30094,124734,MONTEIRO DE AGUIAR,Claudia,woman,Portugal,8,2017.0,Group of the European People's Party (Christian Democrats),Member,Member,Committee of Inquiry into Emission Measurements in the Automotive Sector,0,0,0
332,30097,124734,MONTEIRO DE AGUIAR,Claudia,woman,Portugal,8,2016.0,Group of the European People's Party (Christian Democrats),Member,Substitute,Committee on Fisheries,0,0,0
333,30098,124734,MONTEIRO DE AGUIAR,Claudia,woman,Portugal,8,2017.0,Group of the European People's Party (Christian Democrats),Member,Substitute,Committee on Fisheries,0,0,0
344,30109,124734,MONTEIRO DE AGUIAR,Claudia,woman,Portugal,8,2016.0,Group of the European People's Party (Christian Democrats),Member,Member,Committee on Transport and Tourism,0,0,0
345,30110,124734,MONTEIRO DE AGUIAR,Claudia,woman,Portugal,8,2017.0,Group of the European People's Party (Christian Democrats),Member,Member,Committee on Transport and Tourism,0,0,0
362,30127,124734,MONTEIRO DE AGUIAR,Claudia,woman,Portugal,8,2016.0,Group of the European People's Party (Christian Democrats),Member,Substitute,Delegation for relations with Mercosur,0,0,0
